code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
BVH,2020-07-03,15:07:02,HOSE,STOCK,46.9,50.1,43.65,46.6,47.0,45.0,46.5,46.52,40.517,40.865,39.126,40.431,40.448,323340.0,15040839500.0,0.0,0.0,-0.4,-0.3478,-0.8529
BVH,2020-07-02,15:07:02,HOSE,STOCK,45.95,49.15,42.75,45.95,47.5,45.85,46.9,46.77,39.952,41.3,39.865,40.778,40.665,474710.0,22200315000.0,0.0,0.0,0.95,0.826,2.0675
BVH,2020-07-01,15:07:02,HOSE,STOCK,45.5,48.65,42.35,46.0,46.0,45.2,45.95,45.62,39.996,39.996,39.3,39.952,39.665,538190.0,24549923000.0,0.0,0.0,0.45,0.3913,0.989
BVH,2020-06-30,15:06:02,HOSE,STOCK,45.75,48.95,42.55,46.35,46.55,45.0,45.5,45.86,40.3,40.474,39.126,39.561,39.874,422070.0,19355869000.0,0.0,0.0,-0.25,-0.2174,-0.5464
BVH,2020-06-29,15:06:02,HOSE,STOCK,47.5,50.8,44.2,46.0,47.0,45.6,45.75,46.12,39.996,40.865,39.648,39.778,40.1,810560.0,37379736500.0,0.0,0.0,-1.75,-1.5216,-3.6842
BVH,2020-06-26,15:06:02,HOSE,STOCK,48.0,51.3,44.65,48.0,48.3,47.5,47.5,47.71,41.735,41.996,41.3,41.3,41.483,272160.0,12984808000.0,0.0,0.0,-0.5,-0.4347,-1.0417
BVH,2020-06-25,15:06:02,HOSE,STOCK,48.0,51.3,44.65,47.5,48.0,47.4,48.0,47.71,41.3,41.735,41.213,41.735,41.483,434930.0,20751359000.0,0.0,0.0,0.0,0.0,0.0
BVH,2020-06-24,15:06:02,HOSE,STOCK,48.6,52.0,45.2,48.6,48.9,48.0,48.0,48.41,42.256,42.517,41.735,41.735,42.091,515830.0,24969675000.0,0.0,0.0,-0.6,-0.5217,-1.2346
BVH,2020-06-23,15:06:02,HOSE,STOCK,49.0,52.4,45.6,49.0,49.4,48.1,48.6,48.97,42.604,42.952,41.822,42.256,42.578,526810.0,25797145000.0,0.0,0.0,-0.4,-0.3478,-0.8163
BVH,2020-06-22,15:06:02,HOSE,STOCK,49.5,52.9,46.05,49.5,49.8,48.5,49.0,48.99,43.039,43.3,42.169,42.604,42.596,570410.0,27945352000.0,0.0,0.0,-0.5,-0.4347,-1.0101
BVH,2020-06-19,15:06:02,HOSE,STOCK,48.0,51.3,44.65,48.0,49.5,48.0,49.5,49.05,41.735,43.039,41.735,43.039,42.648,1296450.0,63596557000.0,0.0,0.0,1.5,1.3042,3.125
BVH,2020-06-18,15:06:02,HOSE,STOCK,48.0,51.3,44.65,47.8,48.35,47.3,48.0,47.88,41.561,42.039,41.126,41.735,41.63,274450.0,13139521500.0,0.0,0.0,0.0,0.0,0.0
BVH,2020-06-17,15:06:02,HOSE,STOCK,49.2,52.6,45.8,49.2,49.2,48.0,48.0,48.41,42.778,42.778,41.735,41.735,42.091,487610.0,23603447000.0,0.0,0.0,-1.2,-1.0434,-2.439
BVH,2020-06-16,15:06:02,HOSE,STOCK,47.2,50.5,43.9,48.0,49.2,47.6,49.2,48.24,41.735,42.778,41.387,42.778,41.943,641350.0,30941184500.0,0.0,0.0,2.0,1.7389,4.2373
BVH,2020-06-15,15:06:02,HOSE,STOCK,48.3,51.6,44.95,48.5,49.45,46.0,47.2,48.17,42.169,42.995,39.996,41.039,41.883,1240270.0,59745261000.0,0.0,0.0,-1.1,-0.9564,-2.2774
BVH,2020-06-12,15:06:02,HOSE,STOCK,49.2,52.6,45.8,48.8,49.0,46.5,48.3,47.83,42.43,42.604,40.431,41.996,41.587,1764620.0,84403558000.0,0.0,0.0,-0.9,-0.7825,-1.8293
BVH,2020-06-11,15:06:02,HOSE,STOCK,52.8,56.4,49.15,52.5,52.7,49.2,49.2,51.27,45.647,45.821,42.778,42.778,44.578,1531870.0,78532650000.0,0.0,0.0,-3.6,-3.1301,-6.8182
BVH,2020-06-10,15:06:02,HOSE,STOCK,52.4,56.0,48.75,52.6,53.0,51.4,52.8,52.27,45.734,46.082,44.691,45.908,45.447,1128810.0,59003455000.0,0.0,0.0,0.4,0.3478,0.7634
BVH,2020-06-09,15:06:03,HOSE,STOCK,50.6,54.1,47.1,51.0,53.0,50.9,52.4,52.14,44.343,46.082,44.256,45.56,45.334,2255000.0,117584996000.0,0.0,0.0,1.8,1.565,3.5573
BVH,2020-06-08,15:06:03,HOSE,STOCK,49.75,53.2,46.3,50.2,51.5,50.1,50.6,50.82,43.648,44.778,43.561,43.995,44.187,1401870.0,71245901000.0,0.0,0.0,0.85,0.739,1.7085
BVH,2020-06-05,15:06:03,HOSE,STOCK,49.85,53.3,46.4,49.85,49.85,49.1,49.75,49.48,43.343,43.343,42.691,43.256,43.022,669340.0,33121644500.0,0.0,0.0,-0.1,-0.0869,-0.2006
